cdm_id,ingredient
41502632,betamethasone
2023442,betamethasone
2031946,dexamethasone
1518254,dexamethasone
42922451,dexamethasone
42948533,dexamethasone
42922453,dexamethasone
2031941,dexamethasone
42918031,dexamethasone
36279039,dexamethasone
2024018,dexamethasone
2024021,dexamethasone
2031951,dexamethasone
35780908,dexamethasone
42921298,dexamethasone
2031920,dexamethasone
36282879,dexamethasone
40160931,dexamethasone
42918032,dexamethasone
42919617,dexamethasone
2024027,dexamethasone
36282882,dexamethasone
43040058,dexamethasone
2031935,dexamethasone
42918049,dexamethasone
2055917,dexamethasone
2024029,dexamethasone
42920796,dexamethasone
2031910,dexamethasone
42931300,ferrous sulfate
1396131,ferrous sulfate
2032282,ferrous sulfate
43133006,ferrous sulfate
35781503,insulin
2027285,insulin
1596977,insulin
42922213,insulin
42921646,insulin
43286093,insulin
2027287,insulin
2028811,insulin
42920631,insulin
42920628,insulin
2028822,insulin
2027272,insulin
42920626,insulin
2028296,iron
1360067,iron
42934728,methylprednisolone
1506270,methylprednisolone
2057265,methylprednisolone
42934742,methylprednisolone
42917368,methylprednisolone
2057243,methylprednisolone
41482202,methylprednisolone
2024075,methylprednisolone
2022315,methylprednisolone
2024067,methylprednisolone
42948783,niacin
2055990,niacin
1517824,niacin
2055978,niacin
753626,propofol
42920468,propofol
2027088,propofol
42919727,propofol
42921121,propofol
42920553,propofol
42920277,propofol
2026288,propofol
2026767,propofol
42920278,propofol
2026286,propofol
42938162,tetracycline
1836948,tetracycline
42921531,vitamin a
42971998,vitamin a
19008339,vitamin a
42918971,vitamin a
42921532,vitamin a
2033037,vitamin a
2032282,vitamin a
43133006,vitamin a
42918816,vitamin a
2074300,vitamin a
21121903,acarbose
21112205,acarbose
1529331,acarbose
2055381,acarbose
2055382,acarbose
21053263,acitretin
929638,acitretin
1119119,adalimumab
1592709,adalimumab
2033423,adalimumab
42922663,adalimumab
2033422,adalimumab
42931443,amitriptyline
710062,amitriptyline
42931453,amitriptyline
1713332,#REF!
42951724,#REF!
42951756,#REF!
42951408,#REF!
42951753,#REF!
42952235,#REF!
42952233,#REF!
42951405,#REF!
2052449,#REF!
42952220,#REF!
19133019,#REF!
42919826,#REF!
42919823,#REF!
2011814,#REF!
42919817,#REF!
2052243,#REF!
42952221,#REF!
2031797,#REF!
42919832,#REF!
42919917,#REF!
42919828,#REF!
42918510,#REF!
42951320,#REF!
2052192,#REF!
2011810,#REF!
2052123,#REF!
2011778,#REF!
2051672,#REF!
42919802,#REF!
42920398,#REF!
42629079,#REF!
1366763,#REF!
42931083,#REF!
42931082,#REF!
19016754,#REF!
42926243,#REF!
43767721,#REF!
19010538,#REF!
1344381,#REF!
44100020,#REF!
42926247,#REF!
42926238,#REF!
42957538,#REF!
42957540,#REF!
1340128,#REF!
42957542,#REF!
42947161,#REF!
2011578,#REF!
1771162,#REF!
2011580,#REF!
42947169,#REF!
42947162,#REF!
2011581,#REF!
2025800,#REF!
2048075,#REF!
1777806,#REF!
42941696,#REF!
2048088,#REF!
42941778,#REF!
2048118,#REF!
2048146,#REF!
42941849,#REF!
2048197,#REF!
2048212,#REF!
1118088,#REF!
1118084,#REF!
1118087,#REF!
42927269,#REF!
42927359,#REF!
997276,#REF!
42922401,#REF!
2033071,#REF!
42944113,#REF!
42921973,#REF!
2073467,#REF!
2009763,#REF!
2073466,#REF!
41343922,#REF!
2033068,#REF!
42918949,#REF!
42948271,#REF!
1797513,#REF!
2025385,#REF!
42948179,#REF!
2025381,#REF!
42920760,#REF!
2033076,#REF!
42948272,#REF!
42948270,#REF!
2025758,#REF!
42919374,#REF!
2025760,#REF!
42948151,#REF!
42920879,#REF!
2031471,#REF!
2026235,#REF!
1750500,#REF!
21113674,#REF!
21035073,#REF!
42958036,#REF!
2049636,#REF!
42958026,#REF!
35754434,#REF!
2049419,#REF!
42958218,#REF!
21074536,#REF!
42919445,#REF!
42919429,#REF!
2049420,#REF!
42958016,#REF!
42958180,#REF!
42921552,#REF!
2028688,#REF!
997881,#REF!
42943292,#REF!
43521561,#REF!
36809661,#REF!
1322185,#REF!
42928924,#REF!
42928967,#REF!
1322184,#REF!
42928991,#REF!
42928993,#REF!
42949821,#REF!
42949831,#REF!
42949826,#REF!
19004691,#REF!
2040365,#REF!
19004670,#REF!
2040369,#REF!
800878,#REF!
2065859,#REF!
1310317,#REF!
42944032,#REF!
19010792,#REF!
2075044,#REF!
21096430,#REF!
2065615,#REF!
42950349,#REF!
1311409,#REF!
21120034,#REF!
45892558,#REF!
1338512,#REF!
35783409,#REF!
35780897,#REF!
2026574,#REF!
2028363,#REF!
42946862,#REF!
2012753,#REF!
2062391,#REF!
42946877,#REF!
41361791,#REF!
2026575,#REF!
42946876,#REF!
2028364,#REF!
2012752,#REF!
2027393,#REF!
42963336,#REF!
1738521,#REF!
42963331,#REF!
35775279,#REF!
35775278,#REF!
715259,#REF!
42945956,#REF!
42946004,#REF!
1594046,#REF!
1594038,#REF!
1594034,#REF!
42941353,#REF!
42941377,#REF!
2062308,#REF!
1341927,#REF!
2062235,#REF!
42941354,#REF!
42941384,#REF!
40236069,#REF!
40236071,#REF!
1325363,#REF!
42949107,#REF!
41127461,#REF!
904453,#REF!
42968161,#REF!
40940024,#REF!
21085042,#REF!
42968049,#REF!
42968244,#REF!
2039611,#REF!
42968069,#REF!
42968036,#REF!
42968162,#REF!
42967955,#REF!
42968264,#REF!
42968232,#REF!
1151789,#REF!
2032455,#REF!
42922271,#REF!
42924452,#REF!
2070527,#REF!
2070528,#REF!
2033765,#REF!
2033766,#REF!
44047688,#REF!
2054909,#REF!
1551803,#REF!
41189798,#REF!
21141482,#REF!
42937076,#REF!
42919736,#REF!
43666014,#REF!
1754994,#REF!
2049308,#REF!
41391110,#REF!
21029441,#REF!
2049365,#REF!
42937069,#REF!
2026263,#REF!
42937083,#REF!
21035494,#REF!
1549686,#REF!
19102199,#REF!
1319193,#REF!
42932501,#REF!
40166003,#REF!
40165998,#REF!
1559684,#REF!
2031752,#REF!
42922320,#REF!
42922321,#REF!
766529,#REF!
42936536,#REF!
42936555,#REF!
42936545,#REF!
42936550,#REF!
21026396,#REF!
1304107,#REF!
42965870,#REF!
42965842,#REF!
42965847,#REF!
42965864,#REF!
42940620,#REF!
778268,#REF!
2040846,#REF!
42921304,#REF!
42922070,#REF!
42920500,#REF!
1367268,#REF!
42920702,#REF!
2026994,#REF!
2028271,#REF!
2029558,#REF!
2029556,#REF!
42658385,#REF!
2027350,#REF!
2028269,#REF!
2027349,#REF!
2027345,#REF!
42922073,#REF!
